Latitude Longitude Value
   71.000   71.500 1.0701156616e+01
   71.000   71.750 1.0755844116e+01
   71.000   72.000 1.0816390991e+01
   71.000   72.250 1.0925765991e+01
   71.000   72.500 1.1043930054e+01
   70.750   71.500 1.0714828491e+01
   70.750   71.750 1.0787094116e+01
   70.750   72.000 1.0859359741e+01
   70.750   72.250 1.0983383179e+01
   70.750   72.500 1.1108383179e+01
   70.500   71.500 1.0748031616e+01
   70.500   71.750 1.0810531616e+01
   70.500   72.000 1.0883773804e+01
   70.500   72.250 1.1009750366e+01
   70.500   72.500 1.1113265991e+01
   70.250   71.500 1.0674789429e+01
   70.250   71.750 1.0736312866e+01
   70.250   72.000 1.0797836304e+01
   70.250   72.250 1.0903305054e+01
   70.250   72.500 1.1006820679e+01
   70.000   71.500 1.0397445679e+01
   70.000   71.750 1.0464828491e+01
   70.000   72.000 1.0528305054e+01
   70.000   72.250 1.0633773804e+01
   70.000   72.500 1.0761703491e+01
Latitude Longitude Value
   71.000   71.500 9.6969604492e-01
   71.000   71.750 1.2460632324e+00
   71.000   72.000 1.5175476074e+00
   71.000   72.250 1.7294616699e+00
   71.000   72.500 1.9247741699e+00
   70.750   71.500 1.3700866699e+00
   70.750   71.750 1.5810241699e+00
   70.750   72.000 1.7909851074e+00
   70.750   72.250 1.9716491699e+00
   70.750   72.500 2.1523132324e+00
   70.500   71.500 1.5937194824e+00
   70.500   71.750 1.8027038574e+00
   70.500   72.000 2.0155944824e+00
   70.500   72.250 2.1991882324e+00
   70.500   72.500 2.3652038574e+00
   70.250   71.500 1.8144226074e+00
   70.250   71.750 2.0126647949e+00
   70.250   72.000 2.2040710449e+00
   70.250   72.250 2.3525085449e+00
   70.250   72.500 2.5068054199e+00
   70.000   71.500 2.2509460449e+00
   70.000   71.750 2.4296569824e+00
   70.000   72.000 2.6220397949e+00
   70.000   72.250 2.7734069824e+00
   70.000   72.500 2.9081726074e+00
Latitude Longitude Value
   71.000   71.500 6.9708251953e-01
   71.000   71.750 1.0213012695e+00
   71.000   72.000 1.3064575195e+00
   71.000   72.250 1.7146606445e+00
   71.000   72.500 2.2332153320e+00
   70.750   71.500 1.9998168945e+00
   70.750   71.750 2.3435668945e+00
   70.750   72.000 2.6863403320e+00
   70.750   72.250 3.1970825195e+00
   70.750   72.500 3.7048950195e+00
   70.500   71.500 3.3152465820e+00
